type,stimFormat,stimFormat_actual,ITI,fixation,ISI,presTime,keyboard,key,responseWindow,responseWindow_actual,bgColor,textColor,feedback,feedbackTime,randomBlock,randomPick,N1_Gen,N2_Gen,N2_Animacy,Acc / UnAcc,VS / SV,violation type,stim1,stim2,stim3,stim4,stim5,sentence
instructions,.png,.png,,,,,space,,,,,,,,,,,,,,,,הוראות מרכזיות,,,,,
instructions,.png,.png,,,,,space,,,,,,,,,,,,,,,,instructions-practice,,,,,
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,,,,,,,,,,,התיבה,ליד,השידה,נשברות,,
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,,,,,,,,,,,בולמים,הרכב,של,השכנים,,
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,,,,,,,,,,,הטרקטור,של,הבחור,נוסע,,
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,,,,,,,,,,,נגמרת,התרופה,של,האורח,,
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,,,,,,,,,,,מרגשת,המנגינה,של,הבחור,,
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,,,,,,,,,,,השלט,מאחורי,האישה,נהרסים,,
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,,,,,,,,,,,המכונית,מלפני,הילד,סוחב,,
instructions,.png,.png,,,,,space,,,,,,,,,,,,,,,,הוראות סיום שלב התנסות,,,,,
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,1,1,F,F,Animate,Acc ,sv,-,המכונית,של,הילדה,עוצרת,,המכונית של הילדה עוצרת  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,1,1,F,F,Animate,Acc ,vs,-,עוצרת,המכונית,של,הילדה,,עוצרת המכונית של הילדה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,1,1,F,F,Animate,Acc ,sv,-,המכונית,של,הילדה,עוצרת,,המכונית של הילדה עוצרת  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,1,1,F,F,Animate,Acc ,vs,-,עוצרת,המכונית,של,הילדה,,עוצרת המכונית של הילדה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,1,1,F,F,Animate,Acc ,sv,-,המכונית,של,הילדה,עוצרת,,המכונית של הילדה עוצרת  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,1,1,F,F,Animate,Acc ,vs,-,עוצרת,המכונית,של,הילדה,,עוצרת המכונית של הילדה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,1,1,F,F,Animate,Acc ,sv,Gen,המכונית,של,הילדה,עוצר,,המכונית של הילדה עוצר  
